# Ojala.Lake_Nataujärvi.2005
#-----------------------------------------------------------------------            
#                World Data Service for Paleoclimatology, Boulder            
#                                  and            
#                     NOAA Paleoclimatology Program            
#             National Centers for Environmental Information (NCEI)            
#-----------------------------------------------------------------------            
# Template Version 3.0            
# Encoding: UTF-8            
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.             
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Arc-LakeNataujrvi.Ojala.2005.txt
#     Online_Resource_Description:  This file.  NOAA WDS Paleo formatted metadata and data for version 2.0.0 of this dataset.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Arc-LakeNataujrvi.Ojala.2005.lpd
#     Online_Resource_Description:  Linked Paleo Data (LiPD) formatted file containing the same metadata and data as this file, for version 2.0.0 of this dataset.
#
# Original_Source_URL: https://www.ncdc.noaa.gov/paleo/study/8660
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: lake sediment
# Parameter_Keywords: 
# Dataset_DOI: 
#
#------------------
# Contribution_Date
#     Date: 
#------------------
# File_Last_Modified_Date
#     Modified_Date: 2017-05-19
#------------------
# Title
#     Study_Name: Ojala.Lake_Nataujärvi.2005
#------------------
# Investigators
#     Investigators: Ojala, Antti E.K.;Alenius, Teija
#------------------
# Description_Notes_and_Keywords
#     Description: Time series truncated at 1800 CE. Actual measurement is not the thickness of the organic-rich layer as stated in orignial data citation. Instead, a measure of organic content within a year is estimated by the cumulative sum of the dark component of pixels of radiographs for each varve\
#------------------
# Publication
#     Authors: Ojala, Antti E.K.;Alenius, Teija
#     Published_Date_or_Year: 2005
#     Published_Title: 10000 years of interannual sedimentation recorded in the Lake Nautajärvi (Finland) clastic–organic varves
#     Journal_Name: Palaeogeography, Palaeoclimatology, Palaeoecology
#     Volume: 219
#     Edition: 
#     Issue: 
#     Pages: 285-302
#     Report: 
#     DOI: 10.1016/j.palaeo.2005.01.002
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Funding_Agency
#     Funding_Agency_Name: 
#     Grant: 
#------------------
# Site_Information
#     Site_Name: Lake Nataujärvi
#     Location: 
#     Country: 
#     Northernmost_Latitude: 61.81
#     Southernmost_Latitude: 61.81
#     Easternmost_Longitude: 24.68
#     Westernmost_Longitude: 24.68
#     Elevation: 103.7
#------------------
# Data_Collection
#     Collection_Name: 
#     Earliest_Year: 
#     Most_Recent_Year: 1800.0
#     Time_Unit: AD
#     Core_Length: 
#     Notes: 
#------------------
# Species
#     Species_Name: 
#     Species_Code: 
#     Common_Name: 
#------------------
# Chronology:        

#------------------
# Variables        
#
# Data variables follow that are preceded by "##" in columns one and two.        
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components ( 10 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data, additional_information)
#
##year	Year AD, ,,AD, , lake sediment, ,,N,   
##X_radiograph_dark_layer	,,,dark_sum, 3 4 5, lake sediment, ,,, ; climateInterpretation_seasonality changed - was originally 3/4/2005; climateInterpretation_seasonality changed - was originally 3/4/2005;  
#
#------------------
# Data:        
# Data lines follow (have no #)        
# Data line format - tab-delimited text, variable short name as header)        
# Missing_Values: nan
#
year           X_radiograph_dark_layer	
0.0	3550.0	
1.0	3127.0	
2.0	4101.0	
3.0	3366.0	
4.0	3812.0	
5.0	3337.0	
6.0	4240.0	
7.0	3253.0	
8.0	4426.0	
9.0	3764.0	
10.0	3863.0	
11.0	4373.0	
12.0	3694.0	
13.0	3912.0	
14.0	3758.0	
15.0	4001.0	
16.0	3463.0	
17.0	5943.0	
18.0	2962.0	
19.0	3387.0	
20.0	3215.0	
21.0	4820.0	
22.0	3580.0	
23.0	5325.0	
24.0	3267.0	
25.0	4773.0	
26.0	4154.0	
27.0	4067.0	
28.0	4233.0	
29.0	4525.0	
30.0	3316.0	
31.0	3702.0	
32.0	3390.0	
33.0	3986.0	
34.0	4776.0	
35.0	5207.0	
36.0	4658.0	
37.0	5097.0	
38.0	3382.0	
39.0	3963.0	
40.0	2734.0	
41.0	3799.0	
42.0	4641.0	
43.0	3604.0	
44.0	3809.0	
45.0	4670.0	
46.0	3629.0	
47.0	3814.0	
48.0	4125.0	
49.0	3351.0	
50.0	3237.0	
51.0	3109.0	
52.0	3561.0	
53.0	3874.0	
54.0	4732.0	
55.0	4526.0	
56.0	3613.0	
57.0	3714.0	
58.0	3567.0	
59.0	4856.0	
60.0	4890.0	
61.0	4632.0	
62.0	6565.0	
63.0	3885.0	
64.0	3694.0	
65.0	4831.0	
66.0	4812.0	
67.0	3996.0	
68.0	5320.0	
69.0	3934.0	
70.0	3948.0	
71.0	4299.0	
72.0	5580.0	
73.0	3242.0	
74.0	4110.0	
75.0	5325.0	
76.0	3897.0	
77.0	5292.0	
78.0	4673.0	
79.0	3888.0	
80.0	3370.0	
81.0	3862.0	
82.0	4332.0	
83.0	3778.0	
84.0	4834.0	
85.0	4982.0	
86.0	4939.0	
87.0	4434.0	
88.0	5167.0	
89.0	3919.0	
90.0	3165.0	
91.0	3667.0	
92.0	5420.0	
93.0	4050.0	
94.0	4570.0	
95.0	4804.0	
96.0	4707.0	
97.0	5561.0	
98.0	3691.0	
99.0	4923.0	
100.0	3731.0	
101.0	4682.0	
102.0	4876.0	
103.0	4512.0	
104.0	5131.0	
105.0	4434.0	
106.0	3363.0	
107.0	3475.0	
108.0	5355.0	
109.0	3980.0	
110.0	4004.0	
111.0	4107.0	
112.0	4912.0	
113.0	3816.0	
114.0	4410.0	
115.0	3906.0	
116.0	5111.0	
117.0	3868.0	
118.0	3383.0	
119.0	3851.0	
120.0	3961.0	
121.0	3890.0	
122.0	5142.0	
123.0	5325.0	
124.0	5459.0	
125.0	5779.0	
126.0	4584.0	
127.0	6060.0	
128.0	4073.0	
129.0	4121.0	
130.0	4295.0	
131.0	4744.0	
132.0	4358.0	
133.0	4266.0	
134.0	5176.0	
135.0	4406.0	
136.0	4229.0	
137.0	5137.0	
138.0	4635.0	
139.0	4044.0	
140.0	4527.0	
141.0	4828.0	
142.0	4518.0	
143.0	5047.0	
144.0	5392.0	
145.0	3604.0	
146.0	4179.0	
147.0	4392.0	
148.0	4072.0	
149.0	4166.0	
150.0	3514.0	
151.0	3404.0	
152.0	5558.0	
153.0	5284.0	
154.0	4636.0	
155.0	4908.0	
156.0	4625.0	
157.0	5444.0	
158.0	3894.0	
159.0	4431.0	
160.0	3240.0	
161.0	4328.0	
162.0	4383.0	
163.0	3156.0	
164.0	3837.0	
165.0	5590.0	
166.0	4150.0	
167.0	4294.0	
168.0	4124.0	
169.0	3711.0	
170.0	4008.0	
171.0	3465.0	
172.0	4001.0	
