# Gingerbreads Bahamas coral growth data
#-----------------------------------------------------------------------            
#                World Data Service for Paleoclimatology, Boulder            
#                                  and            
#                     NOAA Paleoclimatology Program            
#             National Centers for Environmental Information (NCEI)            
#-----------------------------------------------------------------------            
# Template Version 3.0            
# Encoding: UTF-8            
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.             
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Ocn-GingerbreadsBahamas.Saenger.2009.txt
#     Online_Resource_Description:  This file.  NOAA WDS Paleo formatted metadata and data for version 2.0.0 of this dataset.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Ocn-GingerbreadsBahamas.Saenger.2009.lpd
#     Online_Resource_Description:  Linked Paleo Data (LiPD) formatted file containing the same metadata and data as this file, for version 2.0.0 of this dataset.
#
# Original_Source_URL: https://www.ncdc.noaa.gov/paleo/study/16440
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: coral
# Parameter_Keywords: 
# Dataset_DOI: 
#
#------------------
# Contribution_Date
#     Date: 
#------------------
# File_Last_Modified_Date
#     Modified_Date: 2017-05-19
#------------------
# Title
#     Study_Name: Gingerbreads Bahamas coral growth data
#------------------
# Investigators
#     Investigators: Saenger,Ocean2k
#------------------
# Description_Notes_and_Keywords
#     Description: 
#------------------
# Publication
#     Authors: Saenger, Casey;Cohen, Anne L.;Oppo, Delia W.;Halley, Robert B.;Carilli, Jessica E.
#     Published_Date_or_Year: 2009
#     Published_Title: Surface-temperature trends and variability in the low-latitude North Atlantic since 1552
#     Journal_Name: Nature Geoscience
#     Volume: 2
#     Edition: 
#     Issue: 7
#     Pages: 492-495
#     Report: 
#     DOI: 10.1038/ngeo552
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Publication
#     Authors: Tierney, Jessica E.;Abram, Nerilie J.;Anchukaitis, Kevin J.;Evans, Michael N.;Giry, Cyril;Kilbourne, K. Halimeda;Saenger, Casey P.;Wu, Henry C.;Zinke, Jens
#     Published_Date_or_Year: 2015
#     Published_Title: Tropical sea surface temperatures for the past four centuries reconstructed from coral archives
#     Journal_Name: Paleoceanography
#     Volume: 30
#     Edition: 
#     Issue: 
#     Pages: 492-495
#     Report: 
#     DOI: 10.1002/2014PA002717
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Funding_Agency
#     Funding_Agency_Name: 
#     Grant: 
#------------------
# Site_Information
#     Site_Name: Gingerbreads Bahamas
#     Location: 
#     Country: 
#     Northernmost_Latitude: 25.84
#     Southernmost_Latitude: 25.84
#     Easternmost_Longitude: -78.62
#     Westernmost_Longitude: -78.62
#     Elevation: -4
#------------------
# Data_Collection
#     Collection_Name: 
#     Earliest_Year: 1552.0
#     Most_Recent_Year: 1991.0
#     Time_Unit: AD
#     Core_Length: 
#     Notes: 
#------------------
# Species
#     Species_Name: Siderastrea,siderea
#     Species_Code: 
#     Common_Name: 
#------------------
# Chronology:        

#------------------
# Variables        
#
# Data variables follow that are preceded by "##" in columns one and two.        
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components ( 10 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data, additional_information)
#
##year	Year AD, ,,AD, , coral, ,,N,   
##calcification	,,,cm/yr, -12 -11 -10 -9 1 2 3 4 5 6 7 8, coral, ,,, ; paleoData_variableName changed - was originally extensionRate; paleoData_proxy changed - was originally extensionRate; climateInterpretation_seasonality changed - was originally -12 -11 -10 -9 1 2 3 4 5 6 7 8;  
#
#------------------
# Data:        
# Data lines follow (have no #)        
# Data line format - tab-delimited text, variable short name as header)        
# Missing_Values: nan
#
year           calcification	
1991.0	0.166	
1990.0	0.173	
1989.0	0.176	
1988.0	0.125	
1987.0	0.167	
1986.0	0.176	
1985.0	0.172	
1984.0	0.196	
1983.0	0.141	
1982.0	0.172	
1981.0	0.133	
1980.0	0.145	
1979.0	0.199	
1978.0	0.129	
1977.0	0.157	
1976.0	0.172	
1975.0	0.153	
1974.0	0.142	
1973.0	0.146	
1972.0	0.125	
1971.0	0.152	
1970.0	0.141	
1969.0	0.118	
1968.0	0.141	
1967.0	0.172	
1966.0	0.177	
1965.0	0.18	
1964.0	0.137	
1963.0	0.106	
1962.0	0.149	
1961.0	0.153	
1960.0	0.153	
1959.0	0.145	
1958.0	0.141	
1957.0	0.149	
1956.0	0.141	
1955.0	0.168	
1954.0	0.159	
1953.0	0.146	
1952.0	0.138	
1951.0	0.141	
1950.0	0.124	
1949.0	0.144	
1948.0	0.151	
1947.0	0.184	
1946.0	0.192	
1945.0	0.169	
1944.0	0.151	
1943.0	0.131	
1942.0	0.119	
1941.0	0.137	
1940.0	0.209	
1939.0	0.223	
1938.0	0.192	
1937.0	0.192	
1936.0	0.156	
1935.0	0.165	
1934.0	0.168	
1933.0	0.204	
1932.0	0.211	
1931.0	0.211	
1930.0	0.176	
1929.0	0.187	
1928.0	0.183	
1927.0	0.209	
1926.0	0.172	
1925.0	0.188	
1924.0	0.173	
1923.0	0.188	
1922.0	0.211	
1921.0	0.204	
1920.0	0.2	
1919.0	0.172	
1918.0	0.209	
1917.0	0.247	
1916.0	0.232	
1915.0	0.204	
1914.0	0.194	
1913.0	0.205	
1912.0	0.179	
1911.0	0.203	
1910.0	0.245	
1909.0	0.234	
1908.0	0.169	
1907.0	0.2	
1906.0	0.181	
1905.0	0.138	
1904.0	0.191	
1903.0	0.141	
1902.0	0.151	
1901.0	0.172	
1900.0	0.194	
1899.0	0.204	
1898.0	0.18	
1897.0	0.188	
1896.0	0.161	
1895.0	0.16	
1894.0	0.2	
1893.0	0.211	
1892.0	0.161	
1891.0	0.153	
1890.0	0.176	
1889.0	0.22	
1888.0	0.153	
1887.0	0.16	
1886.0	0.188	
1885.0	0.149	
1884.0	0.157	
1883.0	0.177	
1882.0	0.13	
1881.0	0.151	
1880.0	0.141	
1879.0	0.172	
1878.0	0.125	
1877.0	0.188	
1876.0	0.188	
1875.0	0.187	
1874.0	0.186	
1873.0	0.165	
1872.0	0.141	
1871.0	0.193	
1870.0	0.165	
1869.0	0.18	
1868.0	0.141	
1867.0	0.187	
1866.0	0.157	
1865.0	0.157	
1864.0	0.211	
1863.0	0.212	
1862.0	0.227	
1861.0	0.189	
1860.0	0.195	
1859.0	0.18	
1858.0	0.211	
1857.0	0.22	
1856.0	0.181	
1855.0	0.163	
1854.0	0.164	
1853.0	0.166	
1852.0	0.17	
1851.0	0.176	
1850.0	0.254	
1849.0	0.294	
1848.0	0.249	
1847.0	0.287	
1846.0	0.253	
1845.0	0.274	
1844.0	0.246	
1843.0	0.227	
1842.0	0.196	
1841.0	0.194	
1840.0	0.194	
1839.0	0.214	
1838.0	0.199	
1837.0	0.219	
1836.0	0.225	
1835.0	0.207	
1834.0	0.189	
1833.0	0.288	
1832.0	0.264	
1831.0	0.319	
1830.0	0.306	
1829.0	0.244	
1828.0	0.24	
1827.0	0.156	
1826.0	0.254	
1825.0	0.196	
1824.0	0.15	
1823.0	0.15	
1822.0	0.234	
1821.0	0.196	
1820.0	0.195	
1819.0	0.169	
1818.0	0.313	
1817.0	0.267	
1816.0	0.202	
1815.0	0.157	
1814.0	0.286	
1813.0	0.252	
1812.0	0.19	
1811.0	0.156	
1810.0	0.177	
1809.0	0.244	
1808.0	0.23	
1807.0	0.244	
1806.0	0.246	
1805.0	0.21	
1804.0	0.197	
1803.0	0.186	
1802.0	0.181	
1801.0	0.182	
1800.0	0.228	
1799.0	0.228	
1798.0	0.179	
1797.0	0.215	
