# Cook.Lower_Murray_Lake.2008
#-----------------------------------------------------------------------            
#                World Data Service for Paleoclimatology, Boulder            
#                                  and            
#                     NOAA Paleoclimatology Program            
#             National Centers for Environmental Information (NCEI)            
#-----------------------------------------------------------------------            
# Template Version 3.0            
# Encoding: UTF-8            
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.             
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Arc-LowerMurrayLake.Cook.2008.txt
#     Online_Resource_Description:  This file.  NOAA WDS Paleo formatted metadata and data for version 2.0.0 of this dataset.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Arc-LowerMurrayLake.Cook.2008.lpd
#     Online_Resource_Description:  Linked Paleo Data (LiPD) formatted file containing the same metadata and data as this file, for version 2.0.0 of this dataset.
#
# Original_Source_URL: https://www.ncdc.noaa.gov/paleo/study/6195
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: lake sediment
# Parameter_Keywords: 
# Dataset_DOI: 
#
#------------------
# Contribution_Date
#     Date: 
#------------------
# File_Last_Modified_Date
#     Modified_Date: 2017-05-19
#------------------
# Title
#     Study_Name: Cook.Lower_Murray_Lake.2008
#------------------
# Investigators
#     Investigators: Cook, Timothy L.;Bradley, Raymond S.;Stoner, Joseph S.;Francus, Pierre
#------------------
# Description_Notes_and_Keywords
#     Description: 
#------------------
# Publication
#     Authors: Cook, Timothy L.;Bradley, Raymond S.;Stoner, Joseph S.;Francus, Pierre
#     Published_Date_or_Year: 2008
#     Published_Title: Five thousand years of sediment transfer in a High Arctic watershed recorded in annually laminated sediments from Lower Murray Lake, Ellesmere Island, Nunavut, Canada
#     Journal_Name: Journal of Paleolimnology
#     Volume: 41
#     Edition: 
#     Issue: 
#     Pages: 77-94
#     Report: 
#     DOI: 10.1007/s10933-008-9252-0
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Funding_Agency
#     Funding_Agency_Name: 
#     Grant: 
#------------------
# Site_Information
#     Site_Name: Lower Murray Lake
#     Location: 
#     Country: 
#     Northernmost_Latitude: 81.35
#     Southernmost_Latitude: 81.35
#     Easternmost_Longitude: -69.53
#     Westernmost_Longitude: -69.53
#     Elevation: 106
#------------------
# Data_Collection
#     Collection_Name: 
#     Earliest_Year: 
#     Most_Recent_Year: 2000.0
#     Time_Unit: AD
#     Core_Length: 
#     Notes: 
#------------------
# Species
#     Species_Name: 
#     Species_Code: 
#     Common_Name: 
#------------------
# Chronology:        

#------------------
# Variables        
#
# Data variables follow that are preceded by "##" in columns one and two.        
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components ( 10 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data, additional_information)
#
##year	Year AD, ,,AD, , lake sediment, ,,N,   
##massacum	mass flux, ,,g.cm-2.a-1, 7, lake sediment, flux estimated from thickness and density, ,,  
#
#------------------
# Data:        
# Data lines follow (have no #)        
# Data line format - tab-delimited text, variable short name as header)        
# Missing_Values: nan
#
year           massacum	
0.0	0.02948	
1.0	0.03505	
2.0	0.03154	
3.0	0.06077	
4.0	0.03252	
5.0	0.03689	
6.0	0.02868	
7.0	0.02144	
8.0	0.01936	
9.0	0.01325	
10.0	0.03245	
11.0	0.08282	
12.0	0.01608	
13.0	0.0152	
14.0	0.03259	
15.0	0.02561	
16.0	0.01748	
17.0	0.04237	
18.0	0.02287	
19.0	0.08562	
20.0	0.03044	
21.0	0.02003	
22.0	0.04977	
23.0	0.01812	
24.0	0.1756	
25.0	0.02369	
26.0	0.03678	
27.0	0.03696	
28.0	0.03281	
29.0	0.02851	
30.0	0.0199	
31.0	0.02324	
32.0	0.06899	
33.0	0.02462	
34.0	0.01465	
35.0	0.03158	
36.0	0.02036	
37.0	0.01938	
38.0	0.04106	
39.0	0.06496	
40.0	0.06775	
41.0	0.02646	
42.0	0.0443	
43.0	0.05858	
44.0	0.02308	
45.0	0.02051	
46.0	0.01683	
47.0	0.01555	
48.0	0.05204	
49.0	0.06413	
50.0	0.02358	
51.0	0.02107	
52.0	0.01189	
53.0	0.01597	
54.0	0.04281	
55.0	0.02144	
56.0	0.05121	
57.0	0.03518	
58.0	0.08698	
59.0	0.01909	
60.0	0.02332	
61.0	0.01786	
62.0	0.01906	
63.0	0.01487	
64.0	0.05803	
65.0	0.01472	
66.0	0.01465	
67.0	0.05051	
68.0	0.02513	
69.0	0.02898	
70.0	0.05631	
71.0	0.04174	
72.0	0.06223	
73.0	0.03876	
74.0	0.01673	
75.0	0.01399	
76.0	0.0102	
77.0	0.01766	
78.0	0.03146	
79.0	0.05244	
80.0	0.03477	
81.0	0.06309	
82.0	0.02708	
83.0	0.02693	
84.0	0.08035	
85.0	0.04836	
86.0	0.03175	
87.0	0.01825	
88.0	0.10591	
89.0	0.04137	
90.0	0.04469	
91.0	0.0304	
92.0	0.02099	
93.0	0.01738	
94.0	0.0138	
95.0	0.00573	
96.0	0.01482	
97.0	0.02594	
98.0	0.01794	
99.0	0.0614	
100.0	0.0322	
101.0	0.03638	
102.0	0.01969	
103.0	0.03924	
104.0	0.00972	
105.0	0.01719	
106.0	0.046	
107.0	0.02669	
108.0	0.02444	
109.0	0.02973	
110.0	0.02868	
111.0	0.02123	
112.0	0.0328	
113.0	0.04543	
114.0	0.02642	
115.0	0.05058	
116.0	0.03473	
117.0	0.08091	
118.0	0.02934	
119.0	0.0199	
120.0	0.02926	
121.0	0.02507	
122.0	0.01981	
123.0	0.01978	
124.0	0.02083	
125.0	0.03945	
126.0	0.04047	
127.0	0.01243	
128.0	0.03927	
129.0	0.02166	
130.0	0.03604	
131.0	0.03706	
132.0	0.01437	
133.0	0.10571	
134.0	0.02353	
135.0	0.01122	
136.0	0.0112	
137.0	0.0133	
138.0	0.03519	
139.0	0.02069	
140.0	0.06812	
141.0	0.02987	
142.0	0.04013	
143.0	0.01436	
144.0	0.09948	
145.0	0.06451	
146.0	0.03322	
147.0	0.02343	
148.0	0.03158	
149.0	0.02134	
150.0	0.01325	
151.0	0.02837	
152.0	0.03292	
153.0	0.13274	
154.0	0.04169	
155.0	0.01426	
156.0	0.05826	
157.0	0.02461	
158.0	0.01847	
159.0	0.02164	
160.0	0.02796	
161.0	0.0249	
162.0	0.03117	
