model_label,testing_period_start,testing_period_end,L1_neurons,L2_neurons,L1_activation,dropout,L1_regularisation,KGE,linear_correlation_coefficient
4-nei_L1_100_L2_20_dropout_0.2_testPeriod_1912_1922,1912,1921,100,20,linear,0.2,0.01,0.24815568401796595,0.30244938099368224
4-nei_L1_100_L2_10_dropout_0.2_testPeriod_1912_1922,1912,1921,100,10,linear,0.2,0.001,0.00020202111997646988,0.5411662910199282
4-nei_L1_20_L2_5_dropout_0.1_testPeriod_1916_1926,1916,1925,20,5,relu,0.1,0.01,0.03319054309166458,0.32045824349826
4-nei_L1_50_L2_5_dropout_0.2_testPeriod_1916_1926,1916,1925,50,5,linear,0.2,0.01,0.23445186661294093,0.3224299175553189
4-nei_L1_20_L2_5_dropout_0.1_testPeriod_1930_1940,1930,1939,20,5,relu,0.1,0.01,0.03169435102773899,0.4185555761238485
4-nei_L1_100_L2_10_dropout_0.2_testPeriod_1932_1942,1932,1941,100,10,linear,0.2,0.001,0.029825325966647,0.41535061491162445
4-nei_L1_20_L2_5_dropout_0.1_testPeriod_1950_1960,1950,1959,20,5,relu,0.1,0.01,0.21807374007414682,0.33828947872653325
4-nei_L1_20_L2_5_dropout_0.1_testPeriod_1952_1962,1952,1961,20,5,relu,0.1,0.01,0.19623000144838798,0.5492226207517698
4-nei_L1_50_L2_5_dropout_0.2_testPeriod_1952_1962,1952,1961,50,5,relu,0.2,0.01,0.34656884721558057,0.5631553027239279
4-nei_L1_50_L2_5_dropout_0.2_testPeriod_1956_1966,1956,1965,50,5,relu,0.2,0.01,0.04510557962546513,0.391670021918654
4-nei_L1_100_L2_10_dropout_0.2_testPeriod_1958_1968,1958,1967,100,10,linear,0.2,0.001,0.02830901251211282,0.5792361094135642
4-nei_L1_50_L2_5_dropout_0.2_testPeriod_1958_1968,1958,1967,50,5,linear,0.2,0.01,0.20740250329128207,0.5418131185967908
4-nei_L1_50_L2_5_dropout_0.2_testPeriod_1958_1968,1958,1967,50,5,relu,0.2,0.01,0.06539633382442511,0.49091762572652503
4-nei_L1_100_L2_20_dropout_0.0_testPeriod_1960_1970,1960,1969,100,20,relu,0.0,0.05,0.26534423243537164,0.6992224152059019
4-nei_L1_100_L2_20_dropout_0.2_testPeriod_1972_1982,1972,1981,100,20,relu,0.2,0.01,0.16620695910512784,0.41289312666946615
4-nei_L1_100_L2_20_dropout_0.0_testPeriod_1972_1982,1972,1981,100,20,relu,0.0,0.05,0.3047388877377134,0.44271143650627176
4-nei_L1_100_L2_20_dropout_0.2_testPeriod_1972_1982,1972,1981,100,20,linear,0.2,0.01,0.3011490742887324,0.3337049215946866
4-nei_L1_100_L2_10_dropout_0.2_testPeriod_1972_1982,1972,1981,100,10,linear,0.2,0.001,0.26426611536589895,0.5412660280850848
4-nei_L1_50_L2_5_dropout_0.2_testPeriod_1972_1982,1972,1981,50,5,linear,0.2,0.01,0.42129600214754004,0.49956987180021706
4-nei_L1_50_L2_5_dropout_0.2_testPeriod_1972_1982,1972,1981,50,5,relu,0.2,0.01,0.4221624282615375,0.46459860700468286
4-nei_L1_20_L2_5_dropout_0.1_testPeriod_1976_1986,1976,1985,20,5,relu,0.1,0.01,0.3049284194140872,0.3537635272640213
4-nei_L1_100_L2_10_dropout_0.2_testPeriod_1976_1986,1976,1985,100,10,linear,0.2,0.001,0.06995519989040777,0.4794052254892378
4-nei_L1_50_L2_5_dropout_0.2_testPeriod_1976_1986,1976,1985,50,5,relu,0.2,0.01,0.3274633000186492,0.4528895914268934
