geo_meanLon,geo_meanLat,archiveType,seasonality,reference,geo_siteName,pub1_dataUrl,paleoData_TSid,resolution
28.25,71.05,POL,SUM,Allen et al. 2007,Over Gunnarsfjorden,http://www1.ncdc.noaa.gov/pub/data/paleo/paleolimnology/arctic/fennoscandia-v2.xls,OverGunnarsfjorden,49.16004536
-153.63,62.55,LAK,SUM,Hu et al. 2001,Farewell_Lake,Personal communication,Farewell_Lake,44.748275862068965
2,52,DOC,ANN,Lamb 1965,Central_England,From Table 2,Central_England,29.487179487179485
28.25,71.05,POL,WIN,Allen et al. 2007,Over Gunnarsfjorden,http://www1.ncdc.noaa.gov/pub/data/paleo/paleolimnology/arctic/fennoscandia-v2.xls,Over_Gunnarsfjorden,49.16004536
17.42,78.85,ICE,WIN,Divine et al. 2011,Lomonosovfonna,Personal communication,Lomonosovfonna,1.0
-53.94,66.74,SEA,SUM,Sha et al. 2012,Holsteinsborg Dyb,Personal Communication (inverted values),Holsteinsborg_Dyb,11.157407407407407
65.92,24.83,SEA,ANN,Doose-Rolinski et al. 2001,SO90-39KG,http://doi.pangaea.de/10.1594/PANGAEA.61822,SO90_39KG,17.304347826086957
-66.6,17.88,SEA,WIN,Nyberg et al. 2002,Caribbean Sea,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/nyberg2002/nyberg2002.txt,CaribbeanSea,68.22222222222223
-77.54,82.47,LAK,SUM,Lamoureux and Bradley 1996,Lake_C2,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleolimnology/northamerica/canada/ellesmere/c2-1996.txt,Lake_C2,1.0
5.18,52.1,DOC,SUM,van Engelen et al. 2001,DeBilt summer,Digitized from Fig. 2,DeBilt_summer,25.004673469387757
-42.32,75.1,ICE,ANN,Vinther et al. 2006,NorthGRIP,www.iceandclimate.nbi.ku.dk/data/Kaufman_etal_2009_data_29sep2009.pdf,NorthGRIP,1.0
-18,66.54,SEA,SUM,Butler et al. 2013,Grimsey,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/butler2013/butler2013-chron.txt,Grimsey,1.0
7.64,66.97,SEA,SUM,Berner et al. 2011,MD95_2011,http://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/DatabaseS1-All-proxy-records.xlsx,MD95_2011,8.633570351079136
-61.13,77.17,ICE,ANN,Camp Century,Vinther et al. 2009,Data source,CampCentury,22.916666666666668
126.51,42.21,LAK,ANN,Hong et al. 2009,Hani,Digitized from Fig. 4b,Hani,18.906737704918037
-16.73,16.83,SEA,ANN,Kuhnert and Mulitza 2011,GeoB 9501-5,http://doi.pangaea.de/10.1594/PANGAEA.773754,GeoB95015,7.921052631578948
69.17,66.92,TRE,SUM,Briffa et al. 2013,Yamal,http://www.cru.uea.ac.uk/cru/papers/briffa2013qsr/,Yamal,1.0
5.18,52.1,DOC,WIN,van Engelen et al. 2001,DeBilt winter,Digitized from Fig. 1,DeBilt_winter,25.0
87.61,51.76,LAK,ANN,Kalugin et al. 2009,Teletskoe_Lake,Personal communication,Teletskoe_Lake,1.0
-37.32,71.12,ICE,ANN,Vinther et al. 2010,Crete,http://www.iceandclimate.nbi.ku.dk/data/Vinther_etal_2010_data_02feb2010.xls/,Crete,1.0
-19.30,66.30,SEA,SUM,Sicre et al. 2011,MD99-2275_45,Personal communication,MD99-2275_45,3.2950819672131146
-50.42,67,LAK,SUM,von Gunten et al. 2012,Braya_So,ftp://ftp.ncdc.noaa.gov/pub/.../braya-so2012.txt?,Braya_So,8.447552447552448
6.47,45.59,LAK,SUM,Millet et al. 2009,Lake_Anterne,Personal communication,Lake_Anterne,36.903225806451616
145.00,35.00,OTH,ANN,McCabe-Glynn et al. 2013,Kuroshio Extension,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/speleothem/northamerica/usa/california/crystal2013.txt,KuroshioExtension,1.0
-74.01,43.45,POL,SUM,Gajewski 1988,Clear_Pond,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/pollen/recons/liadata.txt,Clear_Pond,40.0
20,41,TRE,SUM,Seim et al. 2012,Albania,http://www.nature.com/ngeo/journal/v6/n5/extref/ngeo1797-s2.xlsx,Albania,1.0
76.45,32.5,TRE,SUM,Ram et al. 2011,Western_Himalaya,Digitized from Fig. 8,Western_Himalaya,4.982626168224299
15.71,68.78,TRE,SUM,McCarroll et al. 2013,Forfjorddalen,Personal communication,Forfjorddalen,1.0
25.0,62.0,LAK,ANN,Tiljander et al. 2006,Lake_Korttajarvi,"""Inverted values; ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleolimnology/europe/finland/korttajarvi2003.txt""",Lake_Korttajarv,1.0
-69.32,81.21,LAK,SUM,Cook et al. 2009,Lower_Murray_Lake,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleolimnology/northamerica/canada/ellesmere/lower-murray2008.txt,Lower_Murray_Lake,1.0
-89.42,46.11,POL,SUM,Gajewski 1988,Hells_Kitchen_Lake,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/pollen/recons/liadata.txt,Hells_Kitchen_Lake,23.877551020408163
-61.35,66.66,LAK,SUM,Moore et al. 2001,Donard_Lake,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleolimnology/northamerica/canada/baffin/donard_2001.txt,Donard_Lake,1.0
-141.00,59.00,TRE,ANN,Wiles et al. 2014,Gulf_of_Alaska,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/treering/reconstructions/gulf_of_alaska/goa2014temperature.txt,Gulf_of_Alaska,1.0
94.82,80.52,ICE,ANN,Opel et al. 2013,Akademii Nauk,http://doi.pangaea.de/10.1594/PANGAEA.824732,AkademiiNauk,1.0
-38.5,72.6,ICE,ANN,Grootes and Stuiver 1997,GISP2,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/icecore/greenland/summit/gisp2/isotopes/d18o1yr.txt,GISP2_d18O,1.0
33.50,67.50,TRE,SUM,McCarroll et al. 2013,Khibiny,Personal communication,Khibiny,1.0
114.0,35.0,DOC,WIN,Ge et al. 2003,East_China,http://www.ncdc.noaa.gov/paleo/pubs/ge2003/ge2003.html,East_China,30.0
-13.99,55.65,SEA,ANN,Richter et al. 2009,Feni_Drift,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/richter2009/richter2009.txt,Feni_Drift,17.955882352941178
17.88,39.75,SEA,ANN,Taricco et al. 2009,Gulf_of_Taranto,Personal communication,Gulf_of_Taranto,3.8684210526315788
88.00,55.00,TRE,SUM,Myglan et al. 2012,Southern Altai,Digitized,SouthernAltai,1.0
-43.49,65.11,ICE,ANN,Vinther et al. 2010,Dye-3,http://www.iceandclimate.nbi.ku.dk/data/Vinther_etal_2010_data_02feb2010.xls/,Dye_3,1.0
13.0,66.0,SPE,ANN,Linge et al. 2001,SG95,Personal communication,SG95,23.9722
98.5,36.5,,TRE,ANN,Liu et al. 2009,Personal communication,Tibet,1.0
102.33,34.24,LAK,ANN,He et al. 2013,Gahai Lake,Personal communication,Gahai_Lake,5.81424
122.5,24.8,SEA,ANN,Wu et al. 2012,ODP Hole 1202B,http://doi.pangaea.de/10.1594/PANGAEA.803648,ODP_Hole_1202B,29.70731707317073
